冒天下之大不讳=冒天下之大不韪|冒天下之大不韙
万变不离其中=万变不离其宗|萬變不離其宗
付之于东流=付诸东流|付諸東流
付诸于东流=付诸东流|付諸東流
消声匿迹=销声匿迹|銷聲匿跡
积毁消骨=积毁销骨|積毀銷骨
消遥法外=逍遥法外|逍遙法外
不共带天=不共戴天|不共戴天
百战不贻=百战不殆|百戰不殆
缺之不恭=却之不恭|卻之不恭
望而怯步=望而却步|望而卻步
浑浑恶恶=浑浑噩噩|渾渾噩噩
材疏学浅=才疏学浅|才疏學淺
志大材疏=志大才疏|志大才疏
因才施教=因材施教|因材施教
敖敖待哺=嗷嗷待哺|嗷嗷待哺
叫苦不叠=叫苦不迭|叫苦不迭
重重迭迭=重重叠叠|重重疊疊
层层迭迭=层层叠叠|層層疊疊
跌挫强敌=迭挫强敌|迭挫強敵
迭床架屋=叠床架屋|疊床架屋
层峦迭障=层峦叠嶂|層巒疊嶂
燃汽轮机=燃气轮机|燃氣輪機
背信起义=背信弃义|背信棄義
玷玷自喜=沾沾自喜|沾沾自喜
玷亲带故=沾亲带故|沾親帶故
鞭僻入理=鞭辟入里|鞭辟入裡
鞭辟入理=鞭辟入里|鞭辟入裡
鞭僻入里=鞭辟入里|鞭辟入裡
独劈蹊径=独辟蹊径|獨闢蹊徑
辟头盖脸=劈头盖脸|劈頭蓋臉
纷至踏来=纷至沓来|紛至沓來
胀红了脸=涨红了脸|漲紅了臉
头昏脑胀=头昏脑涨|頭昏腦漲
热涨冷缩=热胀冷缩|熱脹冷縮
望风披糜=望风披靡|望風披靡
望风披縻=望风披靡|望風披靡
萎糜不振=萎靡不振|萎靡不振
萎縻不振=萎靡不振|萎靡不振
糜糜之音=靡靡之音|靡靡之音
縻糜之音=靡靡之音|靡靡之音
糜縻之音=靡靡之音|靡靡之音
縻縻之音=靡靡之音|靡靡之音
绝不罢休=决不罢休|決不罷休
坐无虚席=座无虚席|座無虛席
雪中送碳=雪中送炭|雪中送炭
生灵涂碳=生灵涂炭|生靈塗炭
异曲同功=异曲同工|異曲同工
杯工蛇影=杯弓蛇影|杯弓蛇影
左右开工=左右开弓|左右開弓
卑恭曲膝=卑躬屈膝|卑躬屈膝
卑躬曲膝=卑躬屈膝|卑躬屈膝
卑恭屈膝=卑躬屈膝|卑躬屈膝
曲打成招=屈打成招|屈打成招
洗耳躬听=洗耳恭听|洗耳恭聽
纠纠武夫=赳赳武夫|赳赳武夫
纠纠老秦=赳赳老秦|赳赳老秦
裨官野史=稗官野史|稗官野史
百练成钢=百炼成钢|百煉成鋼
爱乌及屋=爱屋及乌|愛屋及烏
按居乐业=安居乐业|安居樂業
暗然泪下=黯然泪下|黯然淚下
暗然销魂=黯然销魂|黯然銷魂
黯无天日=暗无天日|暗無天日
安兵不动=按兵不动|按兵不動
飞扬拔扈=飞扬跋扈|飛揚跋扈
白壁微瑕=白璧微瑕|白璧微瑕
大有稗益=大有裨益|大有裨益
原物必还=原物璧还|原物璧還
原物壁还=原物璧还|原物璧還
英雄倍出=英雄辈出|英雄輩出
并行不背=并行不悖|並行不悖
废尽心机=费尽心机|費盡心機
废尽心思=费尽心思|費盡心思
煞废苦心=煞费苦心|煞費苦心
半途而费=半途而废|半途而廢
费寝忘食=废寝忘食|廢寢忘食
因噎费食=因噎废食|因噎廢食
百步串杨=百步穿杨|百步穿楊
罢绌百家=罢黜百家|罷黜百家
背道而驶=背道而驰|背道而馳
弊绝风轻=弊绝风清|弊絕風清
筚路褴缕=筚路褴褛|篳路襤褸
不寒而立=不寒而栗|不寒而慄
变换莫测=变幻莫测|變幻莫測
涣然一新=焕然一新|煥然一新
精神焕散=精神涣散|精神渙散
骠肥体壮=膘肥体壮|膘肥體壯
标炳千古=彪柄千古|彪柄千古
摒气凝神=屏气凝神|屏氣凝神
病入膏盲=病入膏肓|病入膏肓
